lda_topic_id,topic_name_cn,representative_rank,scenic_name,comment_id,rating,lda_topic_prob,review_text
3,票务预约与入园体验,3,玉渊潭公园,163150950,4.0,0.972032538267901,这是我最熟悉的地方，脚步👣几乎踏遍所辖区域。每逢春天来临，最吸引人的是樱花小湖里一群群朝发夕至的水鸟，往往你拍的时候，它们只给你留下一个屁屁。当然2020这个不同以往的春天，樱花节取消了，限流措施阻挡住大部分想来看樱的游客。今年的染井吉野花期很长，椿寒樱十分华美，花多人少的环境，造就了有史以来最具观赏价值赏樱氛围。 年票老年票并不受限制。 去看看春天醉美的花海吧，4.1日已经开始花吹雪了
3,票务预约与入园体验,4,玉渊潭公园,209734582,5.0,0.9719254587331277,几乎天天从玉渊潭门口过，但好久没进来正经逛逛了。 昨日，4.26日，微臣特意来刺探情报，给诸君汇报一下… 樱花都谢了 牡丹花都蔫了 紫藤花也败了 只剩下满园的槐花开得正好，满园槐花飘香！ 槐花树下是活动区域，有踢毽子的身手敏捷的爷爷奶奶，有跑跑跳跳的小朋友…… 还有，划船泛舟正是时候，不冷也不太热，适合各年龄段的诸君～ 虽然，人间四月芳菲尽； 但是，拂堤杨柳醉春烟！ 踏青赏春依旧是好时候！👍 小提示： 停车停在南边的世纪坛公园停车场，车位充足！
3,票务预约与入园体验,5,潭柘寺,166266852,5.0,0.9712156030715721,潭柘寺位于北京门头沟区潭柘山寺镇潭拓山下，距市中心37公里，寺内占地2.5公顷，始建于西晋永嘉元年（公元307年），是北京最早建的佛教寺庙，初名为嘉福寺，清代改为岫云寺，民间一直称为潭柘寺。从金代开始，历代皇帝都到谭拓寺祭拜。寺内主要建筑有大雄宝殿、圆通宝殿、岫云禅寺、拓木缘等。
2,交通与开放空间体验,1,首都博物馆,169221193,5.0,0.9809267502438644,首都博物馆简称首博，位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号。集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆，是北京地区大型综合性博物馆，属中国省市级综合性博物馆。 截至2015年末，首都博物馆总建筑面积63390平方米，常设展览藏品数量为5622件，展馆有地上五层、地下二层。先后被评为：“国家一级博物馆”、“全国科普教育基地”、“爱国主义教育基地”。
2,交通与开放空间体验,2,颐和园,224388928,5.0,0.9796301782567155,颐和园不愧是中国皇家园林的瑰宝，令人陶醉其中，流连忘返。 一进入颐和园，就能感受到它宏大的规模和皇家的气派。昆明湖碧波荡漾，占据了园区约四分之三的面积，湖光山色相互映衬，宛如一幅天然的画卷。万寿山巍峨耸立，山上的佛香阁雄踞山巅，气势磅礴，登上佛香阁，整个颐和园的美景尽收眼底￼￼￼。园中还有著名的十七孔桥，它如长虹卧波，横跨在昆明湖上，尤其是在冬至日午后，阳光穿透所有桥洞，形成“金光穿洞”的奇观，令人叹为观止￼￼￼
2,交通与开放空间体验,3,国家游泳中心,169809531,5.0,0.9780475358964432,国家游泳中心是具有国际先进水平的、集游泳、运动、健身、休闲于一体的中心，它成为北京市民的水上娱乐中心。国家游泳中心利用南广场地下空间建立了2块冰面，一块为标准冰场、另一块为冰壶场地，将作为奥林匹克中心区冰壶项目体验基地，为大众提供开放的平台，为三亿人参与冰雪运动提供助力。国际奥委会主席托马斯·巴赫称赞，“冰立方”是奥运场馆可持续发展的典范。
2,交通与开放空间体验,4,国家游泳中心,163482061,4.0,0.9772829753765553,“水立方”也就是国家游泳中心的别称，它位于北京奥林匹克公园内，与八万人体育场鸟巢毗邻而居。它也是2008年北京奥运会修建的主游泳馆，也是北京奥运会标志性建筑物之一。 “水立方”这个名字也非常形象。它的外形采用了膜结构，突出了“水”的形象。十分具有创意。 如今水立方也是后奥运利用最好的场馆之一。它已经成为市民休闲娱乐的好去处。 单独水立方的参观门票30元，也可以买游泳票去体验下奥运赛道。与鸟巢同时游览即可。
2,交通与开放空间体验,5,首都博物馆,164474554,5.0,0.9771169055082725,首都博物馆简称首博，位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号，原馆址是“北京孔庙”。集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆，是北京地区大型综合性博物馆，属中国省市级综合性博物馆。 截至2015年末，首都博物馆总建筑面积63390平方米，常设展览藏品数量为5622件，展馆有地上五层、地下二层。周一闭馆，每日09:00—17:00，16:00停止入馆。
0,票务预约与入园体验,1,司马台长城,172134445,5.0,0.983949914044093,司马台长城位于北京市东北部密云区北部的古北口镇司马台村北，紧邻古北水镇，距离北京120公里，属燕山山脉，司马台长城依险峻山势而筑，并以险、密、齐、巧、全五大特点著称于世。 司马台长城东起望京楼，西至后川口，全长5.7公里，其中鸳鸯湖水库将该长城分为东西两段。东段有敌楼16座，西段有敌楼19座，共计35座（包括已毁水中一座）。1987年司马台长城被列入世界遗产名录，是我国唯一保留明代原貌的古建筑遗址，被联合国教科文组织确定为“原始长城”。
0,票务预约与入园体验,2,天坛公园,206026997,5.0,0.9787728153600805,游览路线： 🌹1小时游览路线： 1⃣天坛南门→圜丘→回音壁→九龙柏→丹陛桥→祈年殿→出北门。（南入北出也是皇帝祭天的路线，南低北高也有步步高升的寓意） 2⃣天坛东门→长廊→祈年殿→丹陛桥→回音壁→圜丘→出南门。 （⚠不建议北门入南门出路线....问就是玄学😅） 🌹2小时游览路线： 天坛南门→圜丘→回音壁→九龙柏→丹陛桥→祈年殿→出祈年殿西门向西→神乐署→斋宫→出西门。
0,票务预约与入园体验,3,天坛公园,402258123,5.0,0.9711908332256532,"使用方便,只需扫描Trip.Com提供的二维码直接输入,无需实体票,预订后确保能够加载二维码,我访问当天忘记检查无法加载我很快拨打Trip.Com求助热线,他们立即协助我。感谢他们的及时反应,然后我能够进入景点,没有进一步的问题。"
0,票务预约与入园体验,4,明十三陵,186356724,2.0,0.9677872470189621,"上当了，这个联票毫无意义，买个定陵下去看看就行了，每个陵之间都得有2,3公里。昌平车不能刷支付宝，不带昌的只能刷支付宝。 我之前一直纳闷，为啥旅游团组织去十三陵不多呢，去了一次怪不得。东西东西没有，空有一个名头。全国各地陵墓跑了不少，真的是最没劲的，又远又没东西看。"
0,票务预约与入园体验,5,明十三陵,169321550,5.0,0.966511656082962,明十三陵位于北京市昌平区境内天寿山南麓，地处东、西、北三面环山的小盆地之中，占地面积四十平方公里，为全国重点文物保护单位，国家5A级旅游景区。 明十三陵是明朝十三位皇帝的陵寝建筑群，具有规模宏大、体系完备和保存较为完整的特点。辖区内自然景观幽美，文物古迹荟萃。
